unit_number,time_in_cycles,RUL,sensor_measurement_2_rm,sensor_measurement_3_rm,sensor_measurement_4_rm,sensor_measurement_7_rm,sensor_measurement_8_rm,sensor_measurement_9_rm,sensor_measurement_11_rm,sensor_measurement_12_rm,sensor_measurement_13_rm,sensor_measurement_14_rm,sensor_measurement_15_rm,sensor_measurement_17_rm,sensor_measurement_20_rm,sensor_measurement_21_rm
1,10,182,642.201,1587.712,1400.84,554.096,2388.049,9049.560000000001,47.272000000000006,522.146,2388.0440000000003,8132.228,8.40839,391.8,38.984,23.3896
1,11,181,642.2470000000001,1586.917,1400.8439999999998,554.114,2388.048,9049.901999999998,47.239999999999995,522.12,2388.043,8132.424000000001,8.409839999999999,391.8,38.972,23.39557
1,12,180,642.238,1586.076,1400.545,554.191,2388.0530000000003,9050.432,47.209,522.072,2388.038,8132.7,8.40604,391.7,38.977999999999994,23.38981
1,13,179,642.3100000000001,1585.4959999999999,1400.208,554.109,2388.057,9049.82,47.22,522.0150000000001,2388.043,8132.187,8.40578,392.0,38.976,23.38296
1,14,178,642.3100000000001,1586.5120000000002,1399.9370000000001,554.1120000000001,2388.055,9049.609,47.251,521.896,2388.035,8132.247,8.4086,392.1,39.006,23.38383
1,15,177,642.316,1586.609,1399.5279999999998,554.076,2388.0600000000004,9049.316,47.253,521.927,2388.0389999999998,8131.623,8.40765,391.9,39.015,23.37839
1,16,176,642.319,1586.9599999999998,1400.141,554.003,2388.063,9049.282000000001,47.261,521.908,2388.043,8131.9490000000005,8.40593,392.0,39.014,23.3872
1,17,175,642.329,1586.224,1400.359,553.949,2388.067,9048.861,47.237,521.865,2388.0440000000003,8132.444,8.41161,392.0,38.985,23.382649999999998
1,18,174,642.3349999999999,1587.032,1399.8740000000003,553.984,2388.072,9049.736,47.233999999999995,521.794,2388.048,8132.609999999999,8.41113,392.1,38.977,23.391460000000002
1,19,173,642.3019999999999,1586.69,1400.4289999999999,554.033,2388.0710000000004,9050.489,47.245,521.804,2388.046,8132.954000000001,8.417060000000001,392.0,38.952000000000005,23.38544
1,20,172,642.435,1585.677,1400.9060000000002,554.155,2388.071,9049.909000000001,47.263999999999996,521.832,2388.042,8132.986999999999,8.4163,391.9,38.96,23.380699999999997
1,21,171,642.4440000000001,1586.109,1400.6550000000002,554.109,2388.077,9049.763,47.263999999999996,521.934,2388.049,8132.331,8.41339,391.9,38.975,23.363840000000003
1,22,170,642.515,1587.061,1400.697,554.02,2388.072,9050.947,47.269999999999996,521.954,2388.05,8131.947,8.41435,392.0,38.961,23.36516
1,23,169,642.422,1587.661,1400.089,554.074,2388.065,9050.893,47.257,521.9209999999999,2388.0469999999996,8131.926999999999,8.41523,391.9,38.962,23.38321
1,24,168,642.425,1587.449,1400.0539999999999,553.975,2388.068,9050.532,47.257,521.9669999999999,2388.05,8131.872,8.4145,391.8,38.944,23.381909999999998
1,25,167,642.4590000000001,1588.477,1399.7800000000002,554.0110000000001,2388.059,9050.725999999999,47.263,521.9730000000001,2388.0440000000003,8132.777,8.41168,392.0,38.940000000000005,23.389789999999998
1,26,166,642.462,1588.587,1398.9370000000001,554.028,2388.061,9050.503,47.265,522.0519999999999,2388.043,8132.281,8.414919999999999,392.2,38.928999999999995,23.38578
1,27,165,642.4480000000001,1589.138,1399.126,554.055,2388.057,9049.806999999999,47.29,522.063,2388.052,8132.014,8.40996,392.3,38.946999999999996,23.397309999999997
1,28,164,642.421,1588.318,1399.427,554.103,2388.064,9049.836,47.309999999999995,522.144,2388.053,8131.4710000000005,8.41291,392.1,38.958999999999996,23.385849999999998
1,29,163,642.433,1588.0449999999998,1399.491,554.11,2388.065,9049.484,47.294,522.196,2388.056,8131.864,8.41159,392.3,38.971999999999994,23.38718
1,30,162,642.349,1589.286,1398.576,554.066,2388.067,9049.456,47.312,522.208,2388.054,8132.679000000001,8.41014,392.1,38.974000000000004,23.38608
1,31,161,642.3140000000001,1589.0970000000002,1398.453,554.071,2388.064,9050.519,47.338,522.161,2388.052,8131.805,8.410689999999999,392.1,38.958999999999996,23.3886
